date,classic_bike,electric_bike
1,5890,9334
2,5216,8062
3,2767,4823
4,4425,7594
5,5950,8071
6,7027,9062
7,4296,6601
8,5356,7619
9,6237,7713
10,5524,7193
11,9583,9200
12,6261,7116
13,7030,7631
14,5624,7585
15,8868,10567
16,9345,10161
17,9534,11577
18,8973,11317
19,9042,11320
20,9293,11956
21,10626,14328
22,10812,14171
23,11406,15295
24,11468,14169
25,10192,15156
26,10061,14877
27,10459,13410
28,10086,14672
29,10518,15533
30,10442,15695
31,4843,6772
35,1211,1611
36,10446,15366
37,12560,16632
38,12461,17249
39,10048,14089
40,11685,16561
41,10860,15930
42,10055,14947
43,11328,15050
44,24205,17183
45,27372,16079
46,26438,15440
47,17019,12401
48,12900,8952
49,5270,11218
50,4558,9765
51,4198,8594
52,1957,4274
